Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",C0603,2,10uF,C1691
"C10, C13, C14, C17, C2, C3, C5, C6, C7, C8, C9",C0603,11,100nF,C14663
"C12, C15",C0402,2,1uF,C14445
C16,0402,1,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,16,Diode,
FPC1,FPC-SMD_AFC01-S12FCA-00,1,AFC01-S12FCA-00,C262661
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USBC_2.0_Receptacle_16P,
R1,0402,1,DNF,
R12,0402,1,1k,
"R2, R6",R0603,2,1.5kΩ,C2907083
"R4, R9",R0603,2,5.1kΩ,C105580
R8,R0402,1,100Ω,C25076
"S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S7, S8, S9",SW_Hotswap_Kailh_MX_1.00u,16,Keyswitch,
SW1,SW-SMD_L4.0-W2.9-LS5.0,1,TS342A2P-WZ,C557591
U1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,TPMIC5219-2.8YM5,C18212650
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,RP2040-QFN-56,1,RP2040,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
"VR1, VR2",RES-ADJ-TH_3362P,2,10kΩ,C58159
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,DSX321G-12MHZ,C93234
