Designator,Mid X,Mid Y,Rotation,Layer
C1,101.216003,-43.237482,0.0,top
C10,78.698796,-63.478126,0.0,top
C12,82.270674,-39.024978,90.0,top
C13,78.698796,-61.692185,0.0,top
C14,101.216003,-27.164031,0.0,top
C15,76.317544,-34.262474,270.0,top
C16,95.962873,-52.167177,0.0,top
C17,82.165987,-63.478124,0.0,top
C2,101.216003,-41.451543,0.0,top
C3,72.640896,-63.478126,0.0,top
C4,101.216003,-29.545283,0.0,top
C5,82.165888,-65.264062,0.0,top
C6,72.640896,-65.264062,0.0,top
C7,75.617456,-63.478126,0.0,top
C8,75.617456,-65.264062,0.0,top
C9,78.698796,-65.264062,0.0,top
D1,42.98,-72.92375,90.0,top
D10,62.03,-111.02375,90.0,top
D11,81.08,-111.02375,90.0,top
D12,100.13,-111.02375,90.0,top
D13,42.98,-130.07375,90.0,top
D14,62.03,-130.07375,90.0,top
D15,81.08,-130.07375,90.0,top
D16,100.13,-130.07375,90.0,top
D2,62.03,-72.92375,90.0,top
D3,81.08,-72.92375,90.0,top
D4,100.13,-72.92375,90.0,top
D5,42.98,-91.97375,90.0,top
D6,62.03,-91.97375,90.0,top
D7,81.08,-91.97375,90.0,top
D8,100.13,-91.97375,90.0,top
D9,42.98,-111.02375,90.0,top
FPC1,76.72,-44.2675,90.0,top
J1,82.865987,-27.759344,180.0,top
R1,94.85756,-50.381238,0.0,top
R12,92.390995,-40.941582,90.0,top
R2,83.901926,-48.595299,0.0,top
R4,81.675361,-35.057787,270.0,top
R6,85.687865,-50.381238,0.0,top
R8,76.317544,-52.597177,90.0,top
R9,84.651926,-35.498413,270.0,top
S1,33.455,-74.19375,0.0,top
S10,52.505,-112.29375,0.0,top
S11,71.555,-112.29375,0.0,top
S12,90.605,-112.29375,0.0,top
S13,33.455,-131.34375,0.0,top
S14,52.505,-131.34375,0.0,top
S15,71.555,-131.34375,0.0,top
S16,90.605,-131.34375,0.0,top
S2,52.505,-74.19375,0.0,top
S3,71.555,-74.19375,0.0,top
S4,90.605,-74.19375,0.0,top
S5,33.455,-93.24375,0.0,top
S6,52.505,-93.24375,0.0,top
S7,71.555,-93.24375,0.0,top
S8,90.605,-93.24375,0.0,top
S9,33.455,-112.29375,0.0,top
SW1,94.176934,-28.354657,0.0,top
U1,78.698796,-36.689039,180.0,top
U2,98.939438,-36.093726,180.0,top
U3,82.731609,-56.134368,0.0,top
U5,93.581621,-46.80936,270.0,top
VR1,90.595,-34.82375,0.0,top
VR2,90.605,-53.87875,0.0,top
X2,90.695682,-60.842185,0.0,top
